Name	On3 Rating	247 Rating	ESPN Rating	Rivals Rating	Position	City	State	Commit Status	Commit Team
Preston Taumua	[90]	[90]	[82]	[5.8]	IOL	Aiea	HI	False	False	
Cooper Cousins	[90]	[90]	[84]	[5.8]	IOL	Erie	PA	True	Penn State Nittany Lions	
Marcos Davila	[90]	[91]	[79]	[5.8]	QB	Midland	TX	True	Purdue Boilermakers	
Jalewis Solomon	[90]	[89]	[82]	[5.9]	ATH	Ellaville	GA	False	False	
Jason Mitchell	[90]	[90]	[81]	[5.8]	S	Los Angeles	CA	False	False	
Jerrae Hawkins	[90]	[91]	[82]	[5.8]	WR	Wheeling	WV	True	Florida Gators	
Keonde Henry	[92]	[90]	[78]	[5.8]	WR	Lake Dallas	TX	True	Purdue Boilermakers	
Ethan Calloway	[93]	[89]	[79]	[5.8]	OT	Mooresville	NC	True	Lsu Tigers	
Jacob Smith	[90]	[90]	[84]	[5.8]	EDGE	Cheshire	CT	False	False	
Payton Pierce	[88]	[90]	[83]	[5.9]	LB	Lucas	TX	True	Ohio State Buckeyes	
Santana Wilson	[93]	[89]	[79]	[5.8]	CB	Scottsdale	AZ	True	Texas Longhorns	
Lawayne McCoy	[89]	[91]	[77]	[5.9]	WR	Miami	FL	True	Florida State Seminoles	
Paki Finau	[90]	[90]	[82]	[5.8]	IOL	Hesperia	CA	True	Washington Huskies	
Ashton Funk	[90]	[89]	[83]	[5.9]	IOL	Katy	TX	True	Texas Am Aggies	
Terhyon Nichols	[91]	[90]	[81]	[5.8]	CB	Cincinnati	OH	True	Kentucky Wildcats	
Marques Easley	[90]	[90]	[81]	[5.8]	OT	Kankakee	IL	False	False	
Jordan Washington	[91]	[90]	[80]	[5.7]	RB	Long Beach	CA	True	Arizona Wildcats	
Tawaski Abrams	[91]	[90]	[81]	[5.8]	WR	Fort Myers	FL	True	Florida State Seminoles	
Dakyus Brinkley	[91]	[90]	[81]	[5.8]	EDGE	Katy	TX	True	Kansas Jayhawks	
Dillon Gresham	[91]	[90]	[81]	[5.8]	WR	San Jacinto	CA	True	Oregon Ducks	
Kavion Henderson	[88]	[90]	[83]	[5.9]	DL	Leeds	AL	True	Arkansas Razorbacks	
T.A. Cunningham	[90]	[90]	[83]	[5.8]	DL	Miami	FL	False	False	
Troy Stevenson	[89]	[92]	[80]	[5.8]	CB	Charleston	SC	False	False	
Josiah Brown	[90]	[90]	[82]	[5.7]	ATH	Hicksville	NY	True	Penn State Nittany Lions	
Malcolm Ziglar	[93]	[89]	[79]	[5.7]	S	Fuquay Varina	NC	False	False	
Tyseer Denmark	[91]	[88]	[80]	[5.9]	WR	Philadelphia	PA	True	Penn State Nittany Lions	
Kamar Mothudi	[89]	[91]	[83]	[5.8]	LB	Los Angeles	CA	False	False	
Vaboue Toure	[92]	[89]	[81]	[5.7]	S	Irvington	NJ	True	Penn State Nittany Lions	
Caleb Holmes	[90]	[90]	[81]	[5.7]	IOL	Fairburn	GA	True	Pittsburgh Panthers	
Noah Dixon	[89]	[90]	[81]	[5.9]	S	Lagrange	GA	True	Clemson Tigers	
Tavoy Feagin	[89]	[90]	[81]	[5.9]	CB	Tampa	FL	True	Clemson Tigers	
Fletcher Westphal	[90]	[90]	[82]	[5.7]	OT	Leesburg	VA	False	False	
Naki Tuakoi	[91]	[90]	[80]	[5.8]	LB	Oakland	CA	True	Stanford Cardinal	
Jerod Smith	[88]	[92]	[82]	[5.8]	DL	Cheshire	CT	True	Michigan Wolverines	
Eddy Pierre-Louis	[90]	[87]	[81]	[6.0]	IOL	Tampa	FL	False	False	
Kellen Lindstrom	[90]	[89]	[79]	[5.9]	EDGE	Springfield	MO	True	Tennessee Volunteers	
Ju’Juan Johnson	[90]	[90]	[80]	[5.8]	CB	Lafayette	LA	True	Lsu Tigers	
Xavier Atkins	[90]	[89]	[80]	[5.9]	LB	Jonesboro	LA	True	Lsu Tigers	
Roger Gradney	[90]	[91]	[79]	[5.7]	S	Altair	TX	True	Nebraska Cornhuskers	
Rico Scott	[90]	[90]	[81]	[5.8]	WR	Harrisburg	PA	True	Alabama Crimson Tide	
Christian Clark	[90]	[89]	[80]	[5.9]	RB	Phoenix	AZ	True	Texas Longhorns	
DD Holmes	[92]	[88]	[81]	[5.8]	EDGE	Washington	DC	True	Florida State Seminoles	
Nasir Johnson	[90]	[90]	[78]	[5.8]	DL	Dublin	GA	True	Florida Gators	
Jordan Ross	[91]	[89]	[81]	[5.8]	WR	Garden Grove	CA	True	Colorado State Rams	
Jeremy Payne	[89]	[90]	[82]	[5.8]	RB	Missouri City	TX	True	Tcu Horned Frogs	
Brandon Davis-Swain	[88]	[90]	[82]	[5.9]	DL	West Bloomfield	MI	True	Colorado Buffaloes	
Jeremiah Beasley	[90]	[90]	[79]	[5.8]	LB	Belleville	MI	True	Michigan Wolverines	
Kevin Heywood	[92]	[88]	[80]	[5.8]	OT	Royersford	PA	True	Wisconsin Badgers	
Joey Olsen	[91]	[89]	[82]	[5.7]	TE	Lake Oswego	OR	True	Usc Trojans	
Braylen Russell	[90]	[90]	[81]	[5.8]	RB	Benton	AR	False	False	
Brian Huff	[92]	[88]	['-']	[5.8]	LB	Jonesboro	AR	False	False	
Noreel White	[90]	[90]	[80]	[5.8]	WR	Ocean Springs	MS	True	Arkansas Razorbacks	
