2023-7-10 2023-7-11 2023-7-12 2023-7-13 2023-7-14 2023-7-15 2023-7-16 2023-7-18
Brandon Booker	['87', '87', '87', '87', '87', '87', '87', '87']	['87', '87', '87', '87', '87', '87', '87', '87']	['78', '78', '78', '78', '78', '78', '78', '78']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	LB	DeSoto	TX	True	Stanford Cardinal	
Brandon Davis-Swain	['88', '88', '88', '88', '88', '88', '88', '88']	['90', '90', '90', '90', '90', '90', '90', '90']	['82', '82', '82', '82', '82', '82', '82', '82']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	DL	West Bloomfield	MI	True	Colorado Buffaloes	
Brandon Heyward	['86', '86', '86', '86', '86', '86', '86', '86']	['86', '86', '86', '86', '86', '86', '86', '86']	['75', '75', '75', '75', '75', '75', '75', '75']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	WR	Oak Ridge	TN	False	False	
Brandon Hood	['88', '88', '88', '88', '88', '88', '88', '88']	['87', '87', '87', '87', '87', '87', '87', '87']	['81', '81', '81', '81', '81', '81', '81', '81']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	RB	McDonough	GA	False	False	
Brandon Jacob	['92', '92', '92', '92', '92', '92', '92', '92']	['91', '91', '91', '91', '91', '91', '91', '91']	['83', '83', '83', '83', '83', '83', '83', '83']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	S	Orlando	FL	False	False	
Brandon Nicholson	['87', '87', '87', '87', '87', '87', '87', '87']	['87', '87', '87', '87', '87', '87', '87', '87']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	CB	Memphis	TN	True	Stanford Cardinal	
Brandon Rehmann	['87', '87', '87', '87', '87', '87', '87', '87']	['87', '87', '87', '87', '87', '87', '87', '87']	['77', '77', '77', '77', '77', '77', '77', '77']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	WR	Philadelphia	PA	True	West Virginia Mountaineers	
Brandon Winton Jr.	['87', '87', '87', '87', '87', '87', '87', '87']	['88', '88', '88', '88', '88', '88', '88', '88']	['78', '78', '78', '78', '78', '78', '78', '78']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	WR	Knoxville	TN	True	Usf Bulls	
Brayden Platt	['89', '89', '89', '89', '89', '89', '89', '89']	['93', '93', '93', '93', '93', '93', '93', '93']	['82', '82', '82', '82', '82', '82', '82', '82']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	LB	Yelm	WA	False	False	
Braydon Lee	['88', '88', '88', '88', '88', '88', '88', '88']	['88', '88', '88', '88', '88', '88', '88', '88']	['80', '80', '80', '80', '80', '80', '80', '80']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	CB	Springdale	MD	True	South Carolina Gamecocks	
Braylen Russell	['89', '89', '89', '89', '89', '89', '89', '89']	['90', '90', '90', '90', '90', '90', '90', '90']	['81', '81', '81', '81', '81', '81', '81', '81']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	RB	Benton	AR	False	False	
